time,following_model_probability,minimum_boundary_clearance_exact,total_ADSI,ASPE_star,ASPEdot_star
21.6,0.0,52.47782007668,0.02392727025564245,0.7166701026233475,-0.020290357342296172
21.7,0.0,53.48987193853,0.02409174053213074,0.7145628917754584,-0.019980886142975284
21.8,0.0,54.50297606553,0.024251233131432258,0.7124903755303041,-0.019678924894027647
21.9,0.0,55.5170748509,0.024405886358955256,0.710451583319849,-0.01938426451088903
22.0,0.0,56.53211476674,0.024555835882374328,0.7084455884769715,-0.01909670151728081
22.1,0.0,57.54804601374,0.024701218408566664,0.7064714879920637,-0.01881603284144379
22.2,0.0,58.56482220583,0.024842167046965295,0.704528412120804,-0.018542061362003127
22.3,0.0,59.58240008593,0.024978812547585126,0.7026155300036666,-0.018274594949611565
22.4,0.0,60.60073926942,0.025111282888687823,0.7007320451801894,-0.01801344661928036
22.5,0.0,61.61980201202,0.025239704611139623,0.6988771677143116,-0.017758431331616035
22.6,0.0,62.63955299968,0.02536420053492287,0.6970501491728164,-0.017509370654729906
22.7,0.0,63.65995915801,0.025484890486871525,0.6952502675880121,-0.017266091030222554
22.8,0.0,64.68098947914,0.025601891226086457,0.6934768263427383,-0.017028423781359405
22.9,0.0,65.70261486425,0.025715316394867783,0.6917291531066871,-0.016796205097376005
23.0,0.0,66.72480798024,0.025825276016993116,0.6900066075224659,-0.01656927705782429
23.1,0.0,67.74754312888,0.025931877540242596,0.688308561481353,-0.01634748526450913
23.2,0.0,68.77079612743,0.026035225638086176,0.6866344013507687,-0.01613067919463824
23.3,0.0,69.79454419939,0.02613542141164068,0.6849835422716852,-0.01591871396240472
23.4,0.0,70.81876587459,0.026232562886483367,0.6833554190237299,-0.01571144920738343
23.5,0.0,71.84344089755,0.026326745057767435,0.6817494852209859,-0.015508748995203957
23.6,0.0,72.86855014339,0.026418059942808707,0.6801652125434261,-0.015310481712549848
23.7,0.0,73.8940755406,0.026506596639821123,0.6786020900047497,-0.01511651995794027
23.8,0.0,74.92,0.026592441391343237,0.6770596232521702,-0.014926740429560605
23.9,0.0,75.94630734934,0.02667567765145825,0.6755373339000916,-0.014741023811220473
24.0,0.0,76.972982273,0.026756386155687303,0.6740347588924431,-0.014559254657297108
24.1,0.0,78.00001025641,0.026834644992663845,0.6725514499031613,-0.014381321278218975
24.2,0.0,79.02737753462,0.026910529677795877,0.671086972739771,-0.014207115624032323
24.3,0.0,80.05507104488,0.02698411322671323,0.6696409068009926,-0.01403653317164503
24.4,0.0,81.08307838261,0.027055466230215815,0.6682128445357037,-0.013869472810560009
24.5,0.0,82.11138776077,0.027124656926935952,0.6668023909555415,-0.0137058367344644
24.6,0.0,83.13998797209,0.02719175127720036,0.6654091631440182,-0.013545530331319932
24.7,0.0,84.16886835404,0.027256813035591576,0.6640327897962328,-0.013388462076789778
24.8,0.0,85.19801875631,0.027319903822440685,0.6626729107787213,-0.01323454343008786
24.9,0.0,86.22742951057,0.027381083193990435,0.6613291767073152,-0.013083688732391996
25.0,0.0,87.25709140236,0.027440408711343067,0.6600012485468831,-0.012935815107946723
25.1,0.0,88.28699564489,0.02749793600763708,0.6586887972242389,-0.012790842367890699
25.2,0.0,89.3171338546,0.027553718853888805,0.6573915032625439,-0.012648692916876413
25.3,0.0,90.34749802845,0.027607809222904185,0.656109056427716,-0.012509291662509334
25.4,0.0,91.37808052263,0.027660257351577823,0.6548411553920715,-0.012372565927602629
25.5,0.0,92.40887403275,0.027711111801462074,0.6535875074128804,-0.012238445365224202
25.6,0.0,93.43987157525,0.02776041951742418,0.6523478280229228,-0.012106861876543815
25.7,0.0,94.47106647011,0.027808225884585248,0.6511218407351861,-0.011977749531410552
25.8,0.0,95.50245232453,0.02785457478346041,0.649909276760145,-0.011851044491647112
25.9,0.0,96.53402301779,0.027899508643327017,0.6487098747348574,-0.011726684936983436
26.0,0.0,97.56577268694,0.02794306849381811,0.6475233804632875,-0.01160461099359483
26.1,0.0,98.59769571344,0.027985294014719136,0.6463495466670897,-0.011484764665219404
26.2,0.0,99.6297867106,0.02802622358399716,0.6451881327551723,-0.011367089767354443
26.3,0.0,100.6620405118,0.028065894324816553,0.6440389045715759,-0.011251531861146809
26.4,0.0,101.6944521594,0.028104342149715418,0.6429016342026045,-0.011138038194086012
26.5,0.0,102.7270168943,0.028141601804711567,0.6417760997421315,-0.011026557638102471
26.6,0.0,103.7597301461,0.02817770691014867,0.6406620851095748,-0.010917040634495551
26.7,0.0,104.7925875241,0.0282126900012398,0.6395593798485091,-0.010809439137947604
26.8,0.0,105.8255848082,0.028246582566821356,0.6384677789403811,-0.010703706563405857
26.9,0.0,106.858717941,0.028279415086603615,0.6373870826248098,-0.010599797734984012
27.0,0.0,107.8919830201,0.028311217067199784,0.6363170962289869,-0.010497668836744072
27.1,0.0,108.9253762904,0.028342017076665837,0.6352576300015315,-0.010397277365346862
27.2,0.0,109.9588941378,0.02837184277784132,0.6342084989540901,-0.010298582084472428
27.3,0.0,110.9925330822,0.02840072096043955,0.6331695227089411,-0.010201542980954163
27.4,0.0,112.0262897716,0.028428677571906622,0.6321405253429171,-0.010106121221987664
27.5,0.0,113.0601609764,0.028455737747329644,0.6311213352634747,-0.010012279115403012
27.6,0.0,114.0941435833,0.028481925838789765,0.6301117850690783,-0.009919980069526524
27.7,0.0,115.1282345908,0.028507265448481055,0.6291117115486183,-0.009829188557910686
27.8,0.0,116.162431104,0.028531779408178484,0.6281209553775865,-0.009739870121783728
27.9,0.0,117.1967303298,0.02855548989445148,0.627139360797404,-0.009651991227013568
28.0,0.0,118.2311295725,0.02857841839650917,0.6261667758166151,-0.009565519311157159
28.1,0.0,119.2656262299,0.028600585738469374,0.6252030520941216,-0.009480422752316937
28.2,0.0,120.3002177887,0.028622012110687253,0.6242480447699391,-0.009396670825009671
